label,precision,recall,f1,support
IntentMovie,0.992619926199262,1.0,0.9962962962962963,269
IntentTvSeries,1.0,1.0,1.0,104
Theme,0.0,0.0,0.0,0
Genre,1.0,1.0,1.0,217
CastAndCrew,0.09090909090909091,0.34782608695652173,0.14414414414414414,23
TVSeriesName,0.0,0.0,0.0,0
MovieName,0.0,0.0,0.0,0
StreamingService,0.9019607843137255,0.9387755102040817,0.92,49
Recency,0.6842105263157895,0.48148148148148145,0.5652173913043478,27
Popularity,0.0,0.0,0.0,4
ReleaseYear,0.978494623655914,0.978494623655914,0.978494623655914,93
Decade,0.925,0.9024390243902439,0.9135802469135802,41
FreeContent,0.0,0.0,0.0,8
AudioLanguage,0.9629629629629629,1.0,0.9811320754716981,52
Franchise,0.9259259259259259,0.9090909090909091,0.9174311926605505,55
Holiday,0.7678571428571429,1.0,0.8686868686868687,43
Sport,1.0,0.4166666666666667,0.5882352941176471,12
Character,0.8823529411764706,0.5,0.6382978723404256,30
